Tipo_de_Punto,Lugar,Direccion,Residuos_Aceptados,Dias,Horarios,Latitud,Longitud
Contenedor en vía pública,Metálico Naranja Lateral,ROCA PTE. JULIO ARGENTINO 2102,Reciclables,Lunes a Domingos,19:00 a 21:00,6353397.95,5439320.64
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 820,Reciclables,Lunes a Domingos,19:00 a 21:00,6353710.001,5440425.249
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 424,Reciclables,Lunes a Domingos,19:00 a 21:00,6353597.396,5440971.368
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1812,Reciclables,Lunes a Domingos,19:00 a 21:00,6353970.59,5439156.129
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1632,Reciclables,Lunes a Domingos,19:00 a 21:00,6353923.234,5439386.696
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1474,Reciclables,Lunes a Domingos,19:00 a 21:00,6353881.688,5439589.285
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1254,Reciclables,Lunes a Domingos,19:00 a 21:00,6353822.504,5439877.713
Contenedor en vía pública,Metálico Naranja Lateral,PASCO 673,Reciclables,Lunes a Domingos,19:00 a 21:00,6353406.596,5440571.637
Contenedor en vía pública,Metálico Naranja Lateral,PASCO 31,Reciclables,Lunes a Domingos,19:00 a 21:00,6353230.701,5441423.387
Contenedor en vía pública,Metálico Naranja Lateral,PASCO 1890,Reciclables,Lunes a Domingos,19:00 a 21:00,6353729.825,5438998.799
Contenedor en vía pública,Metálico Naranja Lateral,PASCO 1589,Reciclables,Lunes a Domingos,19:00 a 21:00,6353650.231,5439386.531
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 1898,Reciclables,Lunes a Domingos,19:00 a 21:00,6353573,5439763.23
Contenedor en vía pública,Metálico Naranja Lateral,BUENOS AIRES 1802,Reciclables,Lunes a Domingos,19:00 a 21:00,6353540.35,5440562.39
Contenedor en vía pública,Metálico Naranja Lateral,COCHABAMBA 1610,Reciclables,Lunes a Domingos,19:00 a 21:00,6353782.091,5439388.308
Contenedor en vía pública,Metálico Naranja Lateral,COCHABAMBA 1347,Reciclables,Lunes a Domingos,19:00 a 21:00,6353712.283,5439729.096
